project,tags,country,site,latitude,longitude,reef_type,reef_zone,reef_exposure,reef_slope,tide,current,visibility,relative_depth,management,management_secondary,management_est_year,management_size,management_parties,management_compliance,management_rules,sample_date,sample_time,depth,transect_length,transect_width,assigned_transect_width_m,size_bin,observers,transect_number,label,fish_family,fish_genus,fish_taxon,size,biomass_constant_a,biomass_constant_b,biomass_constant_c,count,biomass_kgha,trophic_level,trophic_group,functional_group,vulnerability,data_policy_beltfish,project_notes,site_notes,management_notes,sample_unit_id,sample_event_id,project_admins,contact_link
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Pomacentridae,Stegastes,Stegastes diencaeus,3,0.01995,2.99,1,1,0.27,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Haemulidae,Haemulon,Haemulon flavolineatum,12,0.012454,3.063327,1,1,12.59,3.46,invertivore-mobile,macro-invertivore,31.73,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Scaridae,Scarus,Scarus iseri,10,0.0158,3.0515,1,1,8.89,2,herbivore-detritivore,scraper,17.19,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Labridae,Thalassoma,Thalassoma bifasciatum,4,0.0107,2.916,1,1,0.3,3.49,planktivore,planktivore,19.56,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Labridae,Halichoeres,Halichoeres bivittatus,6,0.010516,3.092435,1,1,1.34,3.82,piscivore,pisci-invertivore,36.66,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Chaetodontidae,Chaetodon,Chaetodon capistratus,4,0.017701,3.377139,1,1,0.96,3.43,invertivore-sessile,micro-invertivore,10,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",131,NA,Pomacentridae,Stegastes,Stegastes planifrons,2,0.02042,2.97,1,1,0.08,2.82,omnivore,cropper/grazer,23.52,public,NA,NA,NA,7ed03d5e-b35e-4364-ac64-34b9589aa273,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Stegastes,Stegastes partitus,3,0.0123,3.05,1,1,0.18,2,herbivore-detritivore,cropper/grazer,20.93,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Stegastes,Stegastes diencaeus,4,0.01995,2.99,1,1,0.63,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
Northern Belize Coastal Complex,Blue Ventures (BV),Belize,NHCMR-B-NTZ-08,17.99855,-87.906855,patch,back reef,sheltered,NA,NA,NA,5-10m - fair,NA,No take zone,NA,NA,NA,NA,NA,no take,2021-10-25,15:23:00,4,10,2m,2,1,"Darling Ortega, Alexander Navarro",132,NA,Pomacentridae,Stegastes,Stegastes diencaeus,5,0.01995,2.99,1,1,1.23,2,herbivore-detritivore,cropper/grazer,24.15,public,NA,NA,NA,f7fde24f-8a09-41d3-9d07-8e037155609c,00acb175-7483-4229-ba6c-138f9a3d650f,"Darling Ortega, Fabian Kyne, Galento Galvez, Joshua Borland, Shakera Arnold, Celso Sho",https://datamermaid.org/contact-project?project_id=d2225edc-0dbb-4c10-8cc7-e7d6dfaf149f
